nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Smith,Bruce,67,156.5,56.5,F,non,master,Normandie,non,non,het,1,242.4,4687,célibataire,,0.39,2024-01-18,,904.77,500.0
Golden,Lauren,72,188.5,67.5,F,non,bac,Normandie,non,non,het,1,275.8,1483,,,0.25,2023-06-17,451.0,5000.0,500.0
Webb,Tammy,42,161.2,67.4,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,4,282.5,2404,veuf,1.0,0.63,2021-04-08,,837.52,794.6722189576033
Davis,Eric,42,159.4,70.6,H,non,master,Normandie,non,oui,het,4,262.3,2762,marié,,0.38,2021-01-28,,1375.58,22277.786505815788
Carlson,Sarah,35,171.9,66.4,F,non,master,Normandie,non,non,het,0,231.4,2226,,,0.67,2025-02-28,573.0,5000.0,500.0
Finley,Dawn,40,171.1,104.5,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,het,2,83.4,947,veuf,4.0,0.93,2021-10-28,439.0,10000.0,500.0
Weber,Alexander,51,162.1,53.9,F,oui,doctorat,Corse,non,oui,het,3,183.7,2664,veuf,,0.71,2025-02-26,,,18333.837978560558
Calderon,Jeremy,54,174.2,56.5,H,oui,master,Normandie,non,oui,het,0,302.8,500,marié,,0.5,2024-07-20,,,8649.397177024455
Arellano,Jamie,55,172.0,56.8,H,non,bac,Normandie,non,oui,het,0,111.8,4448,veuf,0.0,0.01,2025-01-09,841.0,,1293.9693614724792
Barry,Cheryl,31,180.4,76.4,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,het,3,271.0,1277,,5.0,0.54,2020-05-29,690.0,,7119.504374535662
Carter,Kyle,18,173.0,66.0,H,oui,bac,Auvergne-Rhône-Alpes,non,non,het,1,279.9,2833,veuf,0.0,0.41,2025-03-10,,902.34,519.7994652920358
Jimenez,Tara,47,175.4,43.8,F,oui,aucun,Hauts-de-France,oui,oui,hom,-1,118.9,2778,,1.0,0.76,2025-05-25,,10000.0,500.0
Mcbride,Thomas,73,178.9,71.0,F,oui,bac+2,Corse,non,oui,hom,4,360.6,1680,divorcé,1.0,0.26,2021-03-23,,5000.0,12520.379879086186
Martin,Melissa,54,170.7,61.5,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,het,2,440.0,3381,marié,3.0,0.33,2021-12-13,,,500.0
Adams,Joshua,46,191.2,57.5,H,oui,bac,Hauts-de-France,non,oui,het,0,108.1,2522,veuf,,0.68,2023-12-27,386.0,10000.0,500.0
Holder,Marissa,23,182.2,62.4,F,oui,bac+2,Île-de-France,oui,non,het,2,104.3,1726,,,0.47,2021-09-13,722.0,10000.0,500.0
Ruiz,Michelle,38,189.4,62.4,F,oui,doctorat,Occitanie,oui,oui,hom,0,271.2,1873,divorcé,,0.33,2024-11-01,389.0,5000.0,9722.802650928841
Gonzalez,Melissa,39,158.9,91.8,H,oui,master,Bretagne,oui,non,het,0,221.2,2112,divorcé,,0.41,2025-01-18,551.0,5000.0,500.0
Brooks,George,37,176.0,61.8,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,het,1,32.5,2753,divorcé,,0.57,2020-01-10,789.0,,18698.40842513472
Mcbride,Daniel,48,176.8,75.2,H,non,doctorat,Bretagne,non,oui,het,1,314.6,3599,veuf,2.0,0.55,2020-08-18,,,27720.17606832052
Perry,Matthew,46,175.5,87.5,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,het,2,409.7,1735,marié,1.0,0.05,2021-04-16,485.0,5000.0,25952.3449595525
Williams,Melissa,21,169.5,86.7,F,oui,master,Corse,oui,non,het,4,333.1,738,marié,5.0,0.87,2022-04-19,,5000.0,500.0
Austin,Theresa,71,166.8,93.9,F,non,bac,Hauts-de-France,non,non,het,1,120.1,1098,célibataire,,0.41,2021-09-27,650.0,,500.0
Rios,Mackenzie,37,188.0,64.0,F,non,bac,Corse,oui,oui,hom,1,278.5,3447,divorcé,,0.09,2023-11-04,,1149.57,500.0
Campbell,Eric,72,191.6,91.6,H,non,bac+2,Occitanie,oui,oui,het,1,385.3,3505,marié,,0.02,2023-05-24,,5000.0,6038.339550389609
Elliott,Harold,72,168.5,72.8,F,oui,aucun,Normandie,non,non,het,3,90.1,3489,veuf,,0.74,2021-02-02,,10000.0,500.0
Parsons,Lucas,31,160.4,89.3,H,non,master,Auvergne-Rhône-Alpes,oui,non,het,0,416.1,4674,,0.0,0.99,2021-12-01,,1268.73,500.0
Adams,Robert,62,168.8,96.4,F,non,aucun,Bretagne,oui,oui,het,2,237.0,3820,marié,,0.5,2023-05-12,,10000.0,500.0
Collins,Joshua,56,157.5,72.0,H,non,aucun,Bretagne,oui,oui,het,1,228.1,2500,célibataire,,0.31,2022-08-15,490.0,5000.0,500.0
Sandoval,Jacob,56,172.1,68.6,F,oui,bac,Île-de-France,non,oui,het,1,313.0,3348,marié,5.0,0.29,2021-12-31,799.0,10000.0,21990.332738096917
White,Anne,40,182.5,47.3,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,het,0,349.5,2246,veuf,0.0,0.32,2024-05-23,,613.9,18552.96427769639
Willis,Jimmy,29,179.0,68.0,H,oui,aucun,Hauts-de-France,oui,non,het,5,233.9,1252,marié,,0.21,2025-05-17,,10000.0,500.0
Williams,Craig,29,174.0,52.9,F,oui,doctorat,Bretagne,oui,oui,het,1,391.4,2446,,,0.36,2024-01-26,555.0,10000.0,27683.656166685265
Hendrix,Joseph,45,177.4,78.9,F,non,master,Auvergne-Rhône-Alpes,non,non,het,0,269.0,2861,veuf,5.0,0.31,2022-01-21,,274.09,500.0
Sanchez,Susan,21,174.9,71.4,F,oui,bac+2,Île-de-France,non,oui,het,1,163.6,598,célibataire,5.0,0.93,2020-02-29,604.0,10000.0,14026.77335016689
Hall,Jordan,41,180.4,73.7,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,0,203.3,2323,divorcé,,0.34,2023-05-09,,5000.0,12864.164024743577
Smith,Danielle,24,166.7,47.6,F,oui,doctorat,Occitanie,oui,non,het,1,169.1,1023,marié,,0.76,2023-05-24,,1117.11,500.0
Gutierrez,Michael,71,158.6,51.5,H,oui,bac,Corse,oui,non,het,0,254.5,2381,divorcé,2.0,0.33,2020-06-17,509.0,,500.0
Collins,Kevin,42,159.1,65.6,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,2,266.7,3061,marié,,0.9,2023-04-14,,1170.03,24490.831011142585
Jennings,Karen,53,190.9,69.0,H,oui,bac,Corse,non,oui,het,2,192.4,1691,célibataire,,0.81,2024-04-15,,,1582.7093625023706
Morgan,David,33,178.0,66.8,F,non,master,Auvergne-Rhône-Alpes,oui,non,het,2,126.0,2494,divorcé,1.0,0.0,2024-01-13,,1201.04,500.0
Campos,Kevin,39,173.1,79.8,F,non,master,Normandie,oui,oui,het,1,385.0,5247,divorcé,3.0,0.21,2023-07-05,,10000.0,12208.857312911881
Taylor,Claudia,60,174.2,84.4,H,non,bac+2,Occitanie,non,non,het,3,280.9,3465,veuf,,0.63,2021-11-22,816.0,10000.0,5465.083499381623
Barnes,Brenda,23,161.0,85.5,H,oui,master,Hauts-de-France,non,non,het,0,232.7,3812,marié,3.0,0.3,2023-06-29,,10000.0,500.0
Turner,Richard,22,173.4,75.8,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,het,1,218.2,1643,veuf,2.0,0.96,2022-12-30,575.0,5000.0,500.0
Bullock,Michael,21,159.6,64.2,F,non,bac+2,Bretagne,non,oui,het,2,247.3,500,marié,4.0,0.14,2020-07-16,,5000.0,6881.368867476603
Davis,Amanda,46,177.8,63.5,F,oui,doctorat,Hauts-de-France,oui,oui,hom,3,318.0,1759,marié,3.0,0.11,2021-09-24,634.0,845.19,22299.283008780734
Burton,Amanda,63,177.5,60.2,F,oui,master,Occitanie,oui,oui,hom,5,258.0,4658,célibataire,,0.09,2022-04-05,589.0,10000.0,38843.069264540594
Cooper,Daniel,28,175.6,59.4,H,non,bac+2,Occitanie,oui,oui,het,1,233.2,2377,divorcé,,0.65,2020-02-09,438.0,,1005.5573551479429
Herring,Jesse,63,178.1,68.9,H,oui,bac,Occitanie,oui,oui,het,3,86.2,2672,marié,,0.88,2023-08-13,,10000.0,7802.660904812431
Scott,Wanda,29,160.2,63.3,H,non,master,Occitanie,non,oui,hom,3,218.5,2771,veuf,2.0,0.83,2023-08-09,639.0,625.0,32060.025334548718
Miller,Amanda,61,170.1,59.5,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,hom,2,310.9,3266,marié,,0.58,2024-05-10,568.0,819.34,500.0
Taylor,Eddie,20,163.6,50.9,F,non,bac+2,Île-de-France,non,oui,het,1,113.6,1301,veuf,,0.25,2022-12-31,583.0,5000.0,5152.431278302917
Ward,Johnathan,47,174.1,84.8,H,oui,bac,Occitanie,non,oui,hom,1,272.4,1153,veuf,0.0,0.02,2023-07-19,483.0,5000.0,5653.637804126459
Sloan,Michael,28,162.0,88.7,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,hom,0,339.3,2600,célibataire,4.0,0.93,2024-08-07,,,7054.437303650374
Jackson,Andrew,44,151.0,64.6,H,oui,aucun,Normandie,non,oui,het,0,439.9,2335,,5.0,0.64,2021-07-03,,,1294.557322138523
Melendez,Deborah,58,173.0,92.6,H,oui,bac,Hauts-de-France,oui,non,het,1,203.3,848,divorcé,,0.86,2021-07-14,,5000.0,500.0
Lloyd,Krista,45,170.2,80.9,H,oui,bac,Normandie,non,oui,het,3,432.9,1269,marié,,0.94,2021-05-17,732.0,10000.0,26598.88260364306
Martinez,Katherine,59,173.9,52.8,F,oui,aucun,Bretagne,non,oui,het,2,256.7,1899,divorcé,2.0,0.09,2020-09-24,,10000.0,8766.12800220621
Bowers,Holly,64,154.4,72.9,H,non,aucun,Bretagne,oui,non,het,0,256.8,2440,marié,,0.01,2022-10-14,597.0,5000.0,500.0
Carter,Nicole,33,187.9,63.6,H,non,bac,Normandie,non,oui,het,3,257.6,4469,veuf,,0.86,2025-04-28,397.0,10000.0,8995.953576772583
Johnson,Daniel,46,157.8,59.4,H,oui,bac+2,Île-de-France,oui,non,het,0,285.3,1254,,,0.79,2021-12-15,,10000.0,500.0
Wells,Betty,61,168.5,70.3,F,non,master,Corse,oui,non,hom,2,263.3,1865,célibataire,1.0,0.49,2023-05-17,558.0,5000.0,500.0
Larsen,Mark,33,165.6,57.1,H,oui,bac,Normandie,oui,oui,het,0,144.0,3171,,4.0,0.63,2022-01-21,785.0,,500.0
Nicholson,Alexis,50,177.9,58.0,F,non,bac,Occitanie,oui,non,het,0,130.8,3200,divorcé,,0.85,2021-08-08,,399.58,500.0
Ryan,Neil,57,165.9,100.6,F,oui,doctorat,Auvergne-Rhône-Alpes,non,non,het,1,77.4,3483,divorcé,,0.35,2025-03-13,508.0,,6425.45197777945
Flores,Michaela,35,167.0,88.4,F,non,master,Normandie,non,oui,het,5,440.1,1249,,,0.95,2024-06-29,,5000.0,29728.935400302784
Hunter,Cameron,55,177.7,48.7,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,het,0,303.0,2409,célibataire,,0.04,2021-02-27,,10000.0,500.0
Brown,Robert,26,162.0,56.2,H,oui,bac+2,Occitanie,non,oui,het,1,377.8,3061,marié,2.0,0.02,2021-06-18,,5000.0,27677.791846229942
Mercer,Kenneth,53,165.3,54.4,F,non,bac+2,Hauts-de-France,oui,oui,het,1,176.2,3291,célibataire,,0.33,2020-05-19,811.0,10000.0,500.0
Johnson,Sean,31,168.5,78.9,H,non,master,Normandie,oui,oui,het,2,488.6,2231,,,0.04,2025-05-22,,,12243.879718206934
Smith,Anthony,59,144.0,52.1,F,oui,aucun,Occitanie,oui,oui,het,3,280.5,2358,veuf,,0.42,2020-06-09,655.0,10000.0,500.0
Sutton,Amanda,46,186.1,64.4,H,non,bac+2,Corse,oui,non,hom,1,368.3,500,marié,,0.86,2023-01-23,,231.43,500.0
Phillips,Courtney,48,198.8,61.7,F,oui,bac+2,Bretagne,non,oui,het,1,1.0,2970,célibataire,1.0,0.97,2023-11-07,,5000.0,5003.7731711517545
Smith,Shannon,59,174.0,48.3,F,oui,aucun,Normandie,non,non,hom,1,270.8,3163,célibataire,,0.56,2023-02-13,,,500.0
Evans,Mike,55,176.7,71.2,H,oui,master,Corse,oui,oui,het,3,321.6,3158,,,0.29,2024-04-01,,10000.0,16159.497406431534
Payne,Melanie,49,170.3,81.0,H,non,master,Île-de-France,oui,non,het,1,276.8,2041,,,0.6,2023-11-10,568.0,,500.0
Medina,James,36,176.3,53.1,H,oui,bac+2,Bretagne,oui,oui,hom,2,79.4,1258,marié,1.0,0.06,2025-02-13,355.0,5000.0,4701.782922226514
Flores,Alan,27,167.0,64.3,H,oui,aucun,Auvergne-Rhône-Alpes,oui,non,het,4,315.9,764,veuf,2.0,0.5,2022-12-22,,1035.95,500.0
Martinez,Joseph,73,143.5,58.2,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,het,0,238.6,4318,marié,,0.27,2022-05-01,647.0,5000.0,16936.92798126162
Perez,Parker,43,166.7,80.6,H,non,bac+2,Occitanie,non,non,het,0,179.0,2320,célibataire,,0.17,2024-11-24,339.0,,500.0
Lopez,Chris,73,197.9,81.3,F,non,aucun,Île-de-France,non,oui,het,0,225.5,3668,célibataire,,0.85,2024-08-02,493.0,,500.0
Jackson,Tyler,73,177.6,73.8,H,non,bac+2,Île-de-France,oui,oui,het,2,382.4,514,veuf,5.0,0.9,2024-09-10,597.0,1074.81,5010.132835404345
Carpenter,Kelli,32,162.7,68.4,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,3,319.3,1718,célibataire,,0.72,2021-04-27,,628.86,23551.21768683154
Scott,Melanie,36,176.5,82.1,H,oui,bac+2,Bretagne,oui,non,het,1,179.9,3305,marié,3.0,0.16,2022-09-23,,,500.0
Hines,Brandi,64,182.7,87.3,F,oui,master,Hauts-de-France,non,oui,het,2,328.5,1397,veuf,,0.95,2022-11-28,337.0,10000.0,12748.896002257849
Jones,Kerry,22,166.1,61.7,F,non,bac+2,Occitanie,non,oui,het,0,241.3,2800,célibataire,1.0,0.49,2020-07-15,,5000.0,11088.708183697732
Brown,Amber,67,144.3,95.0,H,oui,bac+2,Bretagne,oui,oui,het,1,252.0,590,,2.0,0.9,2022-11-28,682.0,,6053.3269997642865
Smith,William,42,161.5,76.2,F,non,master,Auvergne-Rhône-Alpes,oui,non,het,0,224.5,3503,célibataire,,0.06,2024-03-15,,10000.0,500.0
Williams,Melvin,46,166.4,74.8,F,non,bac,Normandie,non,oui,het,1,129.0,865,divorcé,,0.51,2022-02-09,,10000.0,500.0
Griffith,Jennifer,48,173.7,65.1,H,non,aucun,Île-de-France,non,non,het,1,199.0,2386,divorcé,,0.21,2020-08-27,702.0,5000.0,500.0
Mills,Matthew,19,180.0,73.9,F,non,bac+2,Corse,oui,oui,het,3,198.9,2312,,3.0,0.6,2022-01-07,,10000.0,500.0
Walton,Samantha,48,154.7,59.9,F,non,bac+2,Hauts-de-France,non,non,het,4,339.7,3542,,,0.12,2020-12-07,,816.92,500.0
Valdez,Kristin,37,171.7,51.8,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,het,1,208.7,2656,,,0.28,2024-03-31,,5000.0,5737.083591176673
Hudson,James,28,169.7,60.7,H,non,doctorat,Hauts-de-France,non,oui,hom,2,222.0,1742,divorcé,,0.28,2022-10-31,760.0,,27600.007056822116
Wolfe,Roberto,45,174.8,33.3,F,oui,bac,Occitanie,oui,oui,het,1,273.6,1388,divorcé,5.0,0.18,2024-07-18,589.0,5000.0,4811.604096119234
Thomas,Juan,73,165.6,78.7,F,non,bac,Île-de-France,oui,oui,het,2,270.1,2424,veuf,,0.46,2025-01-13,,,2192.0470685879473
Ward,Ronald,59,159.4,62.8,F,oui,bac,Occitanie,non,oui,het,-1,185.2,3699,célibataire,1.0,0.86,2021-07-01,,,500.0
Rivera,Seth,33,169.4,64.6,F,non,bac+2,Île-de-France,non,non,het,4,327.7,1538,célibataire,,0.77,2020-07-03,,1168.17,500.0
Allen,Stephanie,73,165.7,96.8,H,oui,aucun,Hauts-de-France,non,oui,het,1,208.3,3324,célibataire,1.0,0.16,2022-06-23,,,13169.833663892612
Williams,Lisa,20,182.6,69.8,F,non,doctorat,Bretagne,non,non,het,0,191.4,662,célibataire,,0.63,2024-11-05,625.0,10000.0,500.0
Collins,David,20,159.3,81.0,H,non,bac+2,Hauts-de-France,non,oui,het,3,238.4,2998,veuf,5.0,0.31,2020-08-21,549.0,,14617.663047226106
Murray,Jessica,51,167.1,86.7,F,oui,bac,Corse,non,non,het,1,361.5,500,divorcé,2.0,0.27,2023-07-15,,301.82,500.0
Burnett,Maria,20,153.9,67.3,H,oui,master,Auvergne-Rhône-Alpes,non,non,het,2,62.7,4076,veuf,5.0,0.13,2022-08-20,,10000.0,11434.841596370443
Cooper,Erica,45,170.8,49.5,H,oui,master,Île-de-France,oui,non,het,2,313.5,2015,marié,3.0,0.98,2022-12-15,757.0,5000.0,3209.733698487022
Graham,Mark,54,182.6,45.0,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,het,0,340.8,3914,marié,,0.45,2023-07-30,,,11863.877179280147
Day,James,22,169.7,69.1,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,het,3,322.3,2700,divorcé,,0.28,2021-01-19,,1223.79,22582.289024922295
Chavez,Michelle,47,180.5,64.1,H,oui,aucun,Corse,non,non,het,-1,306.1,3406,veuf,5.0,0.8,2023-12-12,,5000.0,500.0
Reid,Linda,38,168.9,66.6,F,oui,doctorat,Île-de-France,oui,oui,het,4,222.7,888,veuf,2.0,0.65,2021-10-17,690.0,10000.0,42907.290690142574
Bennett,Mary,39,178.2,95.4,H,non,aucun,Auvergne-Rhône-Alpes,non,non,het,1,274.7,2884,marié,2.0,0.23,2024-10-08,,10000.0,500.0
Freeman,Melissa,40,164.2,78.3,H,oui,doctorat,Occitanie,oui,oui,het,2,283.9,2392,,1.0,0.44,2020-12-15,,,31677.026770062177
Rubio,Martha,48,163.4,51.2,H,non,master,Auvergne-Rhône-Alpes,oui,non,het,1,80.2,2667,célibataire,2.0,0.08,2020-03-27,,10000.0,500.0
Pace,Melissa,59,174.8,46.5,F,oui,aucun,Corse,non,non,hom,2,175.4,565,célibataire,0.0,0.45,2021-08-04,,5000.0,500.0
Johns,Marilyn,64,174.1,85.7,F,oui,bac+2,Bretagne,non,oui,het,3,316.1,2332,veuf,,0.05,2021-03-30,,1067.7,27303.718650178896
Fields,Dominique,64,158.7,72.4,H,non,aucun,Corse,non,oui,het,2,218.6,3490,divorcé,4.0,0.13,2020-03-27,,10000.0,1144.230783109789
Hayes,Michelle,23,160.9,59.5,F,oui,bac+2,Normandie,oui,oui,het,0,339.8,500,veuf,5.0,0.97,2021-09-25,,5000.0,500.0
Macias,Michael,43,177.4,74.3,F,oui,bac+2,Île-de-France,oui,oui,het,0,367.0,3900,divorcé,1.0,0.85,2020-11-23,,662.67,5653.473987961504
Bean,Kelli,25,173.6,87.9,H,oui,bac,Hauts-de-France,non,oui,het,3,397.5,2868,célibataire,,0.75,2022-01-11,,5000.0,14394.551617333127
Phillips,Wanda,72,172.0,85.6,H,oui,doctorat,Corse,non,oui,het,0,272.7,1235,célibataire,,0.09,2021-01-01,,10000.0,14103.035604380653
Dawson,Lisa,19,164.1,72.7,F,oui,bac,Provence-Alpes-Côte d’Azur,non,non,het,2,306.2,782,veuf,,0.19,2021-03-27,,5000.0,500.0
Ramos,James,25,169.0,109.2,F,oui,bac+2,Normandie,non,non,het,0,172.1,2235,marié,5.0,0.15,2022-08-25,462.0,,500.0
Pittman,Victoria,29,165.6,90.6,H,non,aucun,Occitanie,oui,oui,het,2,157.7,3728,marié,4.0,0.1,2022-01-13,551.0,10000.0,1463.1485356559908
Rogers,Katie,26,177.6,47.8,H,oui,doctorat,Île-de-France,non,oui,het,4,238.3,2902,célibataire,,0.69,2021-03-06,470.0,1215.29,58002.243450091075
Colon,Ryan,48,153.7,77.9,F,oui,master,Normandie,non,oui,het,2,218.3,500,veuf,,0.83,2023-12-19,783.0,,26081.83669335257
Mcguire,Michael,54,165.9,77.2,H,oui,doctorat,Occitanie,oui,oui,het,0,310.2,545,célibataire,1.0,0.84,2024-12-26,,5000.0,500.0
Lozano,Zachary,70,193.3,79.9,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,het,3,325.5,3475,marié,5.0,0.83,2022-03-05,,10000.0,500.0
Ramsey,Katherine,40,174.2,72.4,H,non,master,Île-de-France,oui,non,het,3,169.1,1515,veuf,1.0,0.49,2025-05-02,,5000.0,500.0
Chan,Michael,51,158.0,66.4,H,non,master,Normandie,oui,non,het,2,328.0,1422,marié,4.0,0.98,2025-03-12,833.0,5000.0,500.0
Tran,Benjamin,29,159.5,93.1,F,non,bac,Île-de-France,oui,oui,het,0,323.5,3682,,2.0,0.11,2023-05-01,579.0,10000.0,500.0
Davis,Morgan,36,155.9,72.6,H,non,bac+2,Occitanie,non,oui,het,0,261.3,2615,,,0.46,2020-01-08,311.0,5000.0,1644.7569155943713
Tran,Natalie,46,174.5,65.1,H,non,master,Provence-Alpes-Côte d’Azur,oui,non,het,1,205.1,2460,marié,2.0,0.8,2021-04-13,,,500.0
Dunn,Chelsea,43,155.7,88.9,F,oui,bac,Bretagne,oui,non,het,1,273.5,1374,célibataire,0.0,0.7,2024-07-08,302.0,1106.15,500.0
Brown,Megan,26,178.1,68.8,H,non,doctorat,Île-de-France,non,oui,het,1,153.0,3522,divorcé,,0.12,2022-08-30,585.0,5000.0,26468.947087104578
White,Michael,41,177.7,69.5,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,het,3,211.2,3100,célibataire,,0.89,2023-07-29,,10000.0,8690.289977941877
Barrett,Sean,34,192.9,64.3,H,oui,master,Corse,oui,oui,het,1,213.7,3311,,,0.14,2023-09-30,810.0,10000.0,22827.917712251852
James,John,18,165.4,62.3,F,non,aucun,Occitanie,non,non,het,0,165.6,2169,divorcé,5.0,0.0,2022-07-13,537.0,10000.0,500.0
Wheeler,James,58,148.2,72.0,H,non,doctorat,Bretagne,non,oui,het,2,142.0,741,célibataire,5.0,0.41,2023-08-11,802.0,10000.0,21172.003510464634
Knight,Theresa,50,169.0,79.1,H,non,bac,Île-de-France,non,oui,het,5,330.2,3254,marié,,0.8,2023-03-17,,,39513.47325102886
Thompson,Peter,61,184.4,97.8,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,het,1,201.7,1793,marié,,0.39,2020-09-01,,5000.0,1959.496865991906
Lawson,Julie,73,171.8,82.4,F,non,doctorat,Corse,oui,non,het,1,257.4,3265,veuf,5.0,0.23,2024-03-03,,10000.0,500.0
Walsh,Hayley,64,155.1,79.7,F,oui,bac+2,Normandie,non,oui,het,0,34.9,1357,marié,,0.5,2022-05-12,634.0,5000.0,500.0
Jimenez,Rebecca,51,181.6,71.7,F,non,bac,Occitanie,oui,oui,het,2,299.8,1089,célibataire,,0.42,2022-10-13,737.0,5000.0,500.0
Hogan,Robert,60,180.2,74.1,F,non,aucun,Occitanie,oui,oui,het,2,306.5,3548,divorcé,1.0,0.26,2022-09-21,344.0,5000.0,500.0
Hawkins,James,39,156.9,44.8,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,0,247.9,3798,divorcé,,0.09,2020-03-30,,1319.38,2307.013533132977
Kelley,Savannah,59,160.2,75.1,F,oui,doctorat,Île-de-France,non,non,het,3,205.9,2821,célibataire,,0.82,2022-04-27,848.0,5000.0,21603.41859867231
Montoya,Lisa,27,160.4,84.1,H,non,aucun,Corse,non,oui,het,2,294.5,3054,divorcé,,0.71,2025-01-02,,10000.0,2875.834464099066
Young,Melissa,75,170.5,63.7,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,het,3,306.1,4967,divorcé,,0.14,2021-04-13,,5000.0,9608.263654081627
Atkins,Sydney,39,172.8,101.9,H,non,master,Provence-Alpes-Côte d’Azur,oui,non,het,0,250.6,2111,célibataire,,0.0,2025-05-16,357.0,10000.0,500.0
Wong,Joe,64,174.6,71.4,F,oui,aucun,Île-de-France,oui,oui,het,2,234.8,1228,veuf,,0.29,2020-01-06,732.0,1179.36,7163.470498591552
Hobbs,Jasmin,38,144.1,80.4,H,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,het,4,185.3,854,marié,0.0,0.86,2023-01-20,,5000.0,21518.139754091066
Taylor,Patrick,39,174.3,101.3,H,non,bac,Occitanie,oui,oui,het,1,259.2,2290,,4.0,0.99,2022-02-01,,989.91,2019.6247544833268
Collins,Bryan,22,182.6,68.2,F,non,master,Bretagne,non,oui,hom,2,315.7,2658,célibataire,,0.34,2020-02-27,606.0,5000.0,17936.513000072897
Russo,Andrew,52,160.9,54.6,H,non,doctorat,Corse,oui,non,het,4,37.7,5656,divorcé,,0.83,2020-11-15,662.0,1101.26,764.0375218517195
Yates,Samantha,44,157.4,54.3,F,oui,aucun,Hauts-de-France,oui,oui,het,-1,259.0,500,célibataire,,0.01,2020-04-17,436.0,345.29,500.0
Gregory,Valerie,44,172.2,56.9,H,non,aucun,Bretagne,oui,non,het,1,268.2,2638,divorcé,1.0,0.99,2023-06-04,,5000.0,500.0
Clark,Thomas,43,185.8,87.8,F,non,bac,Île-de-France,non,oui,het,2,301.6,3034,veuf,,0.14,2023-08-21,,10000.0,21535.64091164447
Alvarado,Heather,51,174.9,50.9,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,het,0,157.7,2063,veuf,,0.98,2023-09-30,,,23579.028746479045
Ward,Paul,74,165.3,98.5,F,oui,bac+2,Bretagne,non,non,het,3,230.0,1390,veuf,1.0,0.55,2020-01-27,667.0,,6395.366210058896
Miller,Edwin,37,170.1,55.7,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,het,3,255.3,5098,célibataire,3.0,0.37,2024-06-20,583.0,10000.0,40747.844512758995
Lopez,Jeffrey,73,170.3,71.9,F,non,master,Normandie,non,non,het,0,230.4,3458,célibataire,4.0,0.46,2020-06-01,360.0,10000.0,500.0
White,Judith,30,186.4,79.0,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,het,0,392.3,2857,veuf,,0.49,2023-11-06,755.0,5000.0,500.0
Vargas,Joseph,18,156.9,71.5,H,oui,aucun,Normandie,non,oui,het,0,283.6,2451,veuf,4.0,0.99,2023-01-18,,10000.0,2010.7253057745797
Velasquez,Omar,25,160.1,78.8,F,oui,aucun,Hauts-de-France,oui,oui,hom,2,199.4,4288,célibataire,5.0,0.5,2021-05-09,,,500.0
Gordon,Katie,59,158.8,68.2,F,oui,master,Île-de-France,non,oui,hom,0,212.2,2810,,3.0,0.48,2022-07-26,339.0,1051.05,14416.391076458343
Campbell,Lindsay,20,187.8,79.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,non,het,4,201.8,4037,marié,3.0,0.25,2023-06-09,,,5008.917167297264
Mcmillan,Rachel,37,184.5,47.6,H,oui,bac,Auvergne-Rhône-Alpes,oui,oui,het,1,246.7,1933,,2.0,0.48,2024-09-05,775.0,1341.8,8807.906414517101
Phillips,Sara,59,158.4,93.1,H,oui,bac,Île-de-France,oui,oui,het,0,204.6,2507,divorcé,3.0,0.08,2025-01-04,540.0,,4016.928245617169
George,James,57,167.7,42.2,F,non,doctorat,Hauts-de-France,oui,non,het,0,66.8,3813,célibataire,2.0,0.29,2023-07-18,357.0,5000.0,500.0
